RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
9,San Antonio Spurs*,1991,82,55,27,West,241.8,41.6,85.2,0.488,1,3.6,0.273,40.6,81.6,0.497,23,30,0.766,13.8,32.4,26.1,8.2,7,17.6,23.1,107.1
10,Houston Rockets*,1991,82,52,30,West,242.1,41.5,88.9,0.467,3.9,12.1,0.32,37.6,76.8,0.49,19.9,26.8,0.741,15.5,30.6,23.2,9.7,5,17.1,22.9,106.7
11,Seattle SuperSonics*,1991,82,41,41,West,242.4,42.7,86.8,0.492,1.7,5.2,0.319,41,81.6,0.503,19.6,26.1,0.75,14.9,26.5,24.9,10.5,4.6,17.1,24.1,106.6
12,Milwaukee Bucks*,1991,82,48,34,East,242.1,40.7,84.7,0.48,3.1,9.2,0.341,37.6,75.5,0.497,21.9,27.3,0.801,13.2,26.4,25.3,10.9,4,16.1,24.8,106.4
13,Los Angeles Lakers*,1991,82,58,24,West,241.8,40.8,84.3,0.484,2.8,9.1,0.304,38,75.2,0.505,22,27.6,0.798,13.1,29.8,25.5,7.8,4.7,14.7,18.6,106.3
14,Orlando Magic,1991,82,31,51,West,241.2,40.2,88.5,0.455,3.3,9.2,0.358,36.9,79.3,0.466,22.2,29.8,0.743,15,29.6,22.1,7.3,3.7,17,24.1,105.9
15,Philadelphia 76ers*,1991,82,44,38,East,244.9,40.1,84.5,0.475,2.4,7.5,0.316,37.7,76.9,0.491,22.8,28.9,0.79,12,30.4,22.2,8.3,5.8,15,19.9,105.4
16,Utah Jazz*,1991,82,54,28,West,241.2,39.2,79.7,0.492,1.8,5.6,0.323,37.4,74.1,0.504,23.8,30.1,0.789,10.6,30.2,27,8,5.5,15.9,21.9,104
17,Los Angeles Clippers,1991,82,31,51,West,241.5,41.4,89.2,0.464,1.4,5.3,0.26,40,83.9,0.476,19.5,27.7,0.702,15.2,30.5,25.8,8.8,6.2,17.5,24.9,103.5
18,New York Knicks*,1991,82,39,43,East,243.4,40.3,83.2,0.485,2.3,6.8,0.332,38.1,76.4,0.499,20.2,26.2,0.77,12.8,29.7,26.5,7.8,5.1,16.8,21.5,103.1
19,New Jersey Nets,1991,82,26,56,East,241.8,40.4,91,0.444,2,7.1,0.275,38.4,83.8,0.458,20.2,27.4,0.739,17.1,28.6,21.7,9.1,7.3,17.4,23.8,102.9
20,Charlotte Hornets,1991,82,26,56,East,241.5,40.1,85.8,0.467,1.6,5.1,0.314,38.5,80.7,0.477,21,27,0.779,12.5,26.8,24.6,9.3,3.7,15.7,23.7,102.8
21,Miami Heat,1991,82,24,58,East,241.2,40,87.1,0.459,1.7,5.7,0.302,38.3,81.4,0.47,20.1,28.1,0.715,15,28.1,23.2,9.2,4.7,18.9,25.4,101.8
22,Cleveland Cavaliers,1991,82,33,49,East,241.8,39.7,83.6,0.475,2,5.8,0.334,37.8,77.8,0.486,20.3,26.5,0.765,12.3,28.4,27.3,7.8,5.5,15.6,20.4,101.7
23,Washington Bullets,1991,82,30,52,East,242.1,41.3,88.6,0.466,0.7,3.5,0.194,40.7,85.2,0.478,18,24.7,0.729,14.3,29.1,25.4,7.2,5.7,16.6,23.5,101.4
24,Detroit Pistons*,1991,82,50,32,East,241.5,39,83.8,0.465,1.6,5.4,0.298,37.4,78.5,0.476,20.6,27,0.763,14.7,29.9,22.3,5.9,4.5,14.4,22.8,100.1
25,Dallas Mavericks,1991,82,28,54,West,241.5,39.6,84,0.471,2.4,7.3,0.322,37.2,76.7,0.485,18.4,24.2,0.761,12,28.8,22.2,7.1,4.8,14.5,22.4,99.9
26,Minnesota Timberwolves,1991,82,29,53,West,242.7,39.8,88.7,0.449,1.3,4.6,0.283,38.5,84.1,0.458,18.7,25.4,0.735,15.5,25.8,23,8.7,5.4,13,22.7,99.6
27,Sacramento Kings,1991,82,25,57,West,240.3,37.6,83.1,0.453,2.6,7,0.374,35,76.1,0.46,18.8,25.7,0.732,12.5,27,24.3,7.7,6.3,15.5,25.3,96.7
1,Golden State Warriors*,1992,82,55,27,West,242.4,45.9,90.6,0.507,3.1,9.3,0.333,42.8,81.3,0.527,23.7,31.8,0.746,13.9,29,25.2,10.4,4.6,16.5,25,118.7
2,Indiana Pacers*,1992,82,40,42,East,243.4,42.7,86.3,0.494,4.1,11.5,0.354,38.6,74.9,0.516,22.8,28.8,0.79,13.2,31.3,29.2,8.6,4.8,17.1,26.1,112.2
3,Phoenix Suns*,1992,82,53,29,West,241.5,43.3,88,0.492,2.8,7.3,0.381,40.6,80.8,0.502,22.7,29.2,0.776,13.3,31.2,26.9,8.2,7.1,15.1,22.6,112.1
4,Portland Trail Blazers*,1992,82,57,25,West,242.4,42.4,89.7,0.473,4,11.5,0.344,38.4,78.1,0.492,22.7,30,0.754,15.8,31.1,25.2,9.2,5,16.2,24.2,111.4
5,Chicago Bulls*,1992,82,67,15,East,241.8,44.4,87.4,0.508,1.7,5.5,0.304,42.7,81.9,0.522,19.4,26,0.744,14.3,29.7,27.8,8.2,5.9,13.3,20.6,109.9
6,Charlotte Hornets,1992,82,31,51,East,241.5,44.1,92.3,0.477,1.4,4.5,0.317,42.6,87.8,0.486,20,26.4,0.755,14.2,28.9,27.9,10,3.8,15.5,22.2,109.5
7,Cleveland Cavaliers*,1992,82,57,25,East,241.5,41.8,85.7,0.488,3.1,8.6,0.357,38.7,77,0.502,22.2,27.5,0.805,12.7,29.9,27.6,7.5,7.6,13.1,19,108.9
8,Utah Jazz*,1992,82,55,27,West,242.4,41.2,83.7,0.492,1.9,5.6,0.345,39.3,78.1,0.503,23.9,30.4,0.788,13.4,31,26.7,8.7,5.5,15.4,21.3,108.3
9,Boston Celtics*,1992,82,51,31,East,241.2,43.2,87.8,0.492,1.3,4.4,0.306,41.9,83.4,0.502,18.9,23.4,0.808,13.4,31.5,25.3,7.8,5.9,14.2,20.6,106.6
10,Seattle SuperSonics*,1992,82,47,35,West,242.1,41.2,86.9,0.474,2.5,7.9,0.317,38.7,79,0.49,21.6,27.6,0.783,15.6,27.5,22.9,9.5,5.5,16.1,23.8,106.5
11,Atlanta Hawks,1992,82,38,44,East,242.7,42.6,91.2,0.467,2.6,8.2,0.313,40,83,0.482,18.5,25.3,0.731,15.7,30.5,25.9,9.7,3.9,15.3,21.6,106.2
12,New Jersey Nets*,1992,82,40,42,East,241.2,42.4,92.4,0.458,2.7,8.2,0.334,39.6,84.3,0.47,17.9,24.5,0.732,18.4,29.2,23.6,9,7.5,17,22.4,105.4
13,Milwaukee Bucks,1992,82,31,51,East,242.4,40.5,88,0.46,4.5,12.3,0.369,36,75.7,0.475,19.5,25.7,0.759,15.8,26.5,24.6,10.5,3.9,16.5,23.2,105
14,Miami Heat*,1992,82,38,44,East,241.8,39.7,86.1,0.461,3.1,9.2,0.342,36.6,77,0.475,22.4,28.4,0.79,14.5,28.9,21.3,8.2,4.5,16.8,22.2,105
15,Sacramento Kings,1992,82,29,53,West,241.8,40.8,87.7,0.466,2.9,8.2,0.353,37.9,79.4,0.477,19.7,26.4,0.747,12.9,28.7,23.9,8.9,7.5,16.6,21.5,104.3
16,San Antonio Spurs*,1992,82,47,35,West,241.2,41.2,86.5,0.476,1.4,4.9,0.292,39.7,81.5,0.487,20.1,27.4,0.736,15,31.1,24.5,8.9,7.4,16,21.9,104
17,Los Angeles Clippers*,1992,82,45,37,West,241.8,40.8,86.3,0.473,1.8,6.1,0.289,39,80.2,0.487,19.5,27.1,0.72,13.8,29.2,25,10,6.1,15.5,22.8,102.9
18,Washington Bullets,1992,82,25,57,East,242.1,41,89,0.461,1.8,6.5,0.272,39.2,82.5,0.476,18.5,23.9,0.778,13,28.6,24.5,8.7,5.1,15.3,22.6,102.4
19,Houston Rockets,1992,82,42,40,West,242.4,39.9,84.1,0.475,4,11.7,0.343,35.9,72.4,0.496,18.2,24.6,0.738,13.1,29.7,25.1,8,7,16.8,21.6,102
20,Philadelphia 76ers,1992,82,35,47,East,240.9,38.9,82.5,0.471,2.8,8.3,0.334,36.1,74.2,0.487,21.4,27.6,0.775,12.9,28.2,21.4,8.4,5.9,15.1,19.3,101.9
21,Orlando Magic,1992,82,21,61,East,240.3,39.3,86.6,0.453,2.4,7.4,0.324,36.9,79.2,0.466,20.6,27.7,0.746,14.3,28.4,21.9,7.8,4.5,16.9,24.1,101.6
22,New York Knicks*,1992,82,51,31,East,242.1,40.4,84.7,0.477,2.5,7.5,0.325,37.9,77.2,0.492,18.3,25,0.734,14.5,30.4,26,7.7,4.7,15.1,23.2,101.6
23,Minnesota Timberwolves,1992,82,15,67,West,241.5,41,89.5,0.458,1.5,4.8,0.32,39.5,84.7,0.466,16.8,22.6,0.743,14.2,26.4,24.7,7.5,6.4,14.1,22.8,100.5
24,Los Angeles Lakers*,1992,82,43,39,West,241.8,38.8,85.1,0.456,1.5,5.4,0.267,37.4,79.7,0.469,21.3,27.8,0.766,14.1,26.8,22,9.2,4.9,13.3,18.8,100.4
25,Denver Nuggets,1992,82,24,58,West,241.2,39.8,90,0.442,1.5,5.1,0.301,38.2,84.9,0.45,18.6,25.2,0.738,16.5,28.7,18.9,9.4,5.6,17.6,24.2,99.7
26,Detroit Pistons*,1992,82,48,34,East,241.2,38.9,83.7,0.465,2,6.4,0.314,36.9,77.3,0.477,19.1,25.7,0.743,14.8,29.5,23.2,6.7,4.4,14.8,20.1,98.9
27,Dallas Mavericks,1992,82,22,60,West,240.9,38,86.6,0.439,3.3,9.7,0.336,34.8,76.9,0.452,18.3,24.4,0.75,14.6,29.7,19.9,6.5,4.3,14.7,22.8,97.6
1,Phoenix Suns*,1993,82,62,20,West,240.6,42.6,86.5,0.493,4.9,13.4,0.363,37.8,73.1,0.516,23.3,31,0.753,13.9,30.6,25.5,9.2,5.5,16.6,21.2,113.4
2,Charlotte Hornets*,1993,82,44,38,East,240.9,42.8,87.9,0.487,2.1,6.5,0.326,40.7,81.4,0.5,22.3,29,0.771,13.4,30.6,26.4,7.8,5.8,16.2,21.8,110.1
3,Golden State Warriors,1993,82,34,48,West,242.7,42.4,88,0.482,3.6,10.4,0.35,38.7,77.6,0.499,21.6,30.1,0.717,14.9,29.1,24.5,8.5,4.7,17.7,25.1,109.9
4,Portland Trail Blazers*,1993,82,51,31,West,242.7,41,89.5,0.458,3.4,10.3,0.326,37.6,79.3,0.475,23.2,31.1,0.745,15,30.6,24,9.4,5.2,14.8,23.1,108.5
5,Seattle SuperSonics*,1993,82,55,27,West,241.2,42.4,87.1,0.486,2.7,7.4,0.357,39.7,79.6,0.498,21,27.5,0.761,14.9,27.5,23.2,11.5,5,15.5,24,108.3
6,Sacramento Kings,1993,82,25,57,West,241.2,41,88.6,0.463,3.2,9.6,0.332,37.8,79,0.478,22.7,29.8,0.762,13.9,27.8,25.3,9.4,4.2,16.6,25.4,107.9
7,Indiana Pacers*,1993,82,41,41,East,240.9,41.1,85.6,0.48,3.1,9.6,0.326,38,76,0.5,22.4,29.3,0.766,14.9,29.9,26.1,7.5,4.9,15.3,24.9,107.8
8,Cleveland Cavaliers*,1993,82,54,28,East,241.8,41.8,84,0.497,3.5,9,0.381,38.3,74.9,0.511,20.7,25.8,0.802,11.3,30.4,28.6,7.5,6.5,13.7,19.3,107.7
9,Atlanta Hawks*,1993,82,43,39,East,241.8,41.4,88.7,0.466,4.7,13.1,0.355,36.7,75.6,0.486,20.1,27.1,0.742,15.7,28.6,25.4,9.8,3.4,16.3,22,107.5
10,Los Angeles Clippers*,1993,82,41,41,West,241.5,43.2,89.4,0.484,1.6,6,0.271,41.6,83.4,0.499,19,26.5,0.718,14.4,28.8,27.3,10.3,6,16.3,23.4,107.1
11,Utah Jazz*,1993,82,47,35,West,240.9,40.7,83.3,0.489,1.6,5,0.314,39.1,78.2,0.5,23.3,30.4,0.766,12.7,30,26.5,9.1,4.2,15.5,24,106.2
12,Orlando Magic,1993,82,41,41,East,242.4,39.7,81.8,0.486,3.9,10.8,0.357,35.9,71,0.505,22.2,30.4,0.73,12.7,31.3,23.8,6.6,5.7,17.4,23.5,105.5
13,San Antonio Spurs*,1993,82,49,33,West,242.1,40.4,82.5,0.49,2.9,8.4,0.341,37.5,74,0.507,21.9,28.6,0.765,11.2,31,24.5,7.1,6.3,15,22.5,105.5
14,Denver Nuggets,1993,82,36,46,West,241.8,40.9,88.8,0.46,1.7,5.5,0.304,39.2,83.3,0.471,21.8,28.8,0.756,15.4,31.3,21.2,7.9,6.9,17.2,24.9,105.2
15,Chicago Bulls*,1993,82,57,25,East,241.8,42.4,87.9,0.482,3,8.2,0.365,39.4,79.7,0.494,17.5,23.8,0.733,15.7,27.8,26,9.5,5,13.5,22,105.2
16,Philadelphia 76ers,1993,82,26,56,East,243,39.3,86.3,0.456,4,11.5,0.351,35.3,74.8,0.472,21.7,27.5,0.786,12.6,29.6,24.9,8.2,6.9,16.6,19.6,104.3
17,Los Angeles Lakers*,1993,82,39,43,West,241.8,40.4,85.3,0.473,2.3,7.6,0.299,38.1,77.7,0.49,21.2,28.1,0.756,13.5,27.9,24.5,9.5,5.3,15.4,21.7,104.2
18,Houston Rockets*,1993,82,55,27,West,241.2,40,82.2,0.486,4.7,13.1,0.361,35.3,69.2,0.51,19.3,25.5,0.758,12,30.9,25.8,8.3,6.6,15.8,20.7,104
19,Boston Celtics*,1993,82,48,34,East,241.2,42.1,86.5,0.487,1.3,4.7,0.287,40.8,81.8,0.498,18.1,23.3,0.777,13.1,29.7,24.4,7.9,5.6,14.3,22.7,103.7
20,Miami Heat,1993,82,36,46,East,244,38.1,83.5,0.456,4.1,11.5,0.354,34.1,72.1,0.473,23.3,30.2,0.771,13.8,29.1,20.6,7.4,4.3,15.7,24.5,103.6
21,New Jersey Nets*,1993,82,43,39,East,241.2,39.9,86.4,0.462,1.9,6,0.318,38,80.4,0.473,21.1,27.5,0.767,15.7,30.6,22.8,8.5,6.4,16.5,23.1,102.8
22,Milwaukee Bucks,1993,82,28,54,East,240.6,39.9,84.4,0.472,3.8,11.4,0.333,36,73,0.494,18.8,25.4,0.742,12.8,25.8,25.4,10.5,4.8,16.6,24.1,102.3
23,Washington Bullets,1993,82,22,60,East,241.5,40.3,86.2,0.467,2.1,7,0.301,38.1,79.1,0.482,19.2,25.7,0.748,12.6,28.3,25.7,8.2,4.4,16.1,21.9,101.9
24,New York Knicks*,1993,82,60,22,East,243,39.1,84.1,0.465,2.4,7.4,0.32,36.8,76.8,0.479,20.9,28.2,0.741,14,32.4,25.9,8.3,4.5,15.8,25.7,101.6
25,Detroit Pistons,1993,82,40,42,East,241.2,39.8,87.9,0.453,3.6,11.1,0.322,36.3,76.9,0.472,17.4,23.9,0.729,15.8,28.2,23.7,7.1,3,14,21.3,100.6
26,Dallas Mavericks,1993,82,11,71,West,240.6,38.6,88.7,0.435,3.5,10.2,0.338,35.1,78.5,0.448,18.7,26.5,0.705,15,27.6,20.5,7.9,4.3,17.8,28.1,99.3
27,Minnesota Timberwolves,1993,82,19,63,West,242.1,37.1,79.6,0.466,2,6.9,0.292,35.1,72.7,0.483,21.9,27.4,0.798,11.5,26.9,24.4,7.9,5.5,17.3,24.7,98.1
1,Phoenix Suns*,1994,82,56,26,West,240.3,41.8,86.3,0.484,4.2,12.7,0.33,37.6,73.6,0.511,20.4,28.1,0.728,14.9,29.9,27.6,9.1,5.6,15.9,20,108.2
2,Golden State Warriors*,1994,82,50,32,West,241.2,42.8,87.1,0.492,3.5,10.5,0.339,39.3,76.7,0.512,18.6,28.1,0.664,14.4,29.2,26.8,9.8,6.2,17.5,21.8,107.9
3,Portland Trail Blazers*,1994,82,47,35,West,240.9,41.1,90.6,0.454,3.3,9.4,0.353,37.8,81.2,0.466,21.7,29.2,0.743,15.9,30,25.2,9.1,5,14.8,22.3,107.3
4,Charlotte Hornets,1994,82,41,41,East,241.8,41.2,86.6,0.476,4.1,11.2,0.367,37.1,75.4,0.493,19.9,26,0.764,12.4,30.2,27,8.8,4.8,15.4,21.3,106.5
5,Seattle SuperSonics*,1994,82,63,19,West,240.6,40.7,84.2,0.484,3,8.8,0.335,37.8,75.4,0.501,21.6,29,0.745,14,27.2,25.8,12.8,4.5,15.4,23.3,105.9
6,Orlando Magic*,1994,82,50,32,East,240.6,40.7,83.9,0.485,4.8,13.9,0.347,35.9,70.1,0.513,19.4,28.6,0.678,14.4,28.7,25.2,8.3,5.6,16.2,20.9,105.7
7,Miami Heat*,1994,82,42,40,East,241.5,39,84.1,0.464,4.1,12.2,0.338,34.9,71.9,0.485,21.3,27.1,0.785,15.1,29.4,22.6,7.8,4.6,16,24.7,103.4
8,New Jersey Nets*,1994,82,45,37,East,241.8,38.6,86.8,0.445,2.7,8.3,0.327,35.9,78.4,0.458,23.2,30.4,0.762,15.9,31.2,23.2,8.5,7,14.6,20.6,103.2
9,Los Angeles Clippers,1994,82,27,55,West,241.2,40.8,87.4,0.467,3.1,10.1,0.303,37.7,77.2,0.488,18.4,26,0.709,13.7,29.4,26.5,9.8,5.1,18,21.6,103
10,Utah Jazz*,1994,82,53,29,West,241.8,39.1,82.1,0.477,2.2,6.8,0.32,36.9,75.2,0.491,21.5,29,0.74,12.9,29.1,26.6,9.2,4.4,14.5,24.2,101.9
11,Atlanta Hawks*,1994,82,57,25,East,240.9,39.6,85.8,0.461,3.3,10.1,0.323,36.3,75.7,0.48,19,25.2,0.752,15.2,29.5,25.1,11.2,5.5,15.3,19.8,101.4
12,Cleveland Cavaliers*,1994,82,47,35,East,242.1,38.2,82.1,0.465,3.6,9.9,0.362,34.6,72.2,0.48,21.2,27.5,0.77,13.3,28.7,25,8.6,5.2,13.9,20.7,101.2
13,Houston Rockets*,1994,82,58,24,West,241.2,39,82.1,0.475,5.2,15.7,0.334,33.8,66.4,0.508,17.9,24.1,0.743,11.3,31.9,25.5,8.7,5.9,16.3,20.1,101.1
14,Sacramento Kings,1994,82,28,54,West,240.9,38.8,85.7,0.452,3.1,8.9,0.353,35.6,76.8,0.464,20.4,28,0.731,13.7,28.6,24.7,8.2,4.3,16.3,24.1,101.1
15,Indiana Pacers*,1994,82,47,35,East,240.9,38.6,79.5,0.486,2.2,6.1,0.368,36.4,73.4,0.496,21.5,29.1,0.738,13.8,29.4,25.1,8.6,5.6,17.6,24.1,101
16,Boston Celtics,1994,82,32,50,East,242.7,40.6,86.1,0.472,1.7,5.8,0.289,39,80.2,0.486,17.8,24.4,0.73,12.6,29,23.5,8.2,5.4,15.1,22.5,100.8
17,Los Angeles Lakers,1994,82,33,49,West,240.9,40.1,89.2,0.45,2.9,9.8,0.3,37.2,79.4,0.468,17.2,24,0.717,15.4,26.9,24.2,9.2,5.6,14.6,22.9,100.4
18,Washington Bullets,1994,82,24,58,East,240.3,39,83.2,0.468,2.7,9.1,0.297,36.3,74.2,0.489,19.7,26.4,0.748,13.1,26.7,22.2,8.5,3.9,17.1,20.9,100.4
19,Denver Nuggets*,1994,82,42,40,West,240.9,38.5,82.7,0.465,2.1,7.3,0.285,36.4,75.4,0.483,21.2,29.5,0.718,13.5,31.2,21.5,8.3,8.4,17.3,23.5,100.3
20,San Antonio Spurs*,1994,82,55,27,West,241.2,38.8,81.6,0.475,3,8.7,0.349,35.7,72.9,0.49,19.5,26.2,0.742,14.5,31.7,23.1,6.8,5.5,14.6,20.3,100
21,New York Knicks*,1994,82,57,25,East,240.9,37.8,82.1,0.46,3.9,11.1,0.348,33.9,71.1,0.477,19.1,25.6,0.746,14.3,31,25.2,9.2,4.7,16.6,24.4,98.5
22,Philadelphia 76ers,1994,82,25,57,East,241.5,37.8,83.2,0.455,3.9,11.5,0.338,34,71.7,0.474,18.4,25.8,0.714,12.3,29.2,22.3,8.1,6.4,16.7,18.1,98
23,Chicago Bulls*,1994,82,55,27,East,241.2,39.6,83.1,0.476,2.8,8,0.354,36.7,75.1,0.489,16,22.7,0.705,13.9,29.2,25.6,9,4.3,15.9,21.3,98
24,Milwaukee Bucks,1994,82,20,62,East,240.3,37.1,83,0.447,4,12.4,0.325,33.1,70.6,0.469,18.7,26.6,0.702,13.7,26.3,23.7,9.8,5,16.4,22.2,96.9
25,Detroit Pistons,1994,82,20,62,East,240.6,38.6,85.6,0.452,4.4,12.7,0.344,34.3,72.9,0.47,15.3,20.9,0.731,12.5,28.3,21.5,7.3,3.8,15.1,23.6,96.9
26,Minnesota Timberwolves,1994,82,20,62,West,240.6,36.4,79.7,0.457,2.2,6.8,0.329,34.2,72.9,0.469,21.7,28.1,0.772,12.1,28.6,24,7.3,5.4,18,24.6,96.7
27,Dallas Mavericks,1994,82,13,69,West,240.6,37.3,86.2,0.432,2.9,9.4,0.312,34.3,76.8,0.447,17.7,23.7,0.747,15.5,26.2,19.9,9.4,3.6,17,24.5,95.1
1,Orlando Magic*,1995,82,57,25,East,243,42.2,84.1,0.502,6.4,17.2,0.37,35.8,66.9,0.535,20.1,30.1,0.669,14,30,27.8,8.2,6,15.8,21,110.9
2,Phoenix Suns*,1995,82,59,23,West,241.8,40.9,85,0.482,7.1,19.3,0.369,33.8,65.6,0.515,21.7,28.7,0.756,12.5,29.3,26.8,8.4,3.8,14.2,22.4,110.6
3,Seattle SuperSonics*,1995,82,57,25,West,241.8,40.4,82.2,0.491,6,15.9,0.376,34.4,66.3,0.519,23.7,31.3,0.758,13,28.5,25.8,11.2,4.8,15.8,25.2,110.4
4,San Antonio Spurs*,1995,82,62,20,West,242.1,39.5,81.5,0.484,5.3,14.1,0.375,34.2,67.4,0.507,22.4,30.3,0.738,12.5,32.5,23.4,8,5.6,15.2,22.8,106.6
5,Utah Jazz*,1995,82,60,22,West,241.2,39.5,77.3,0.512,3.7,9.8,0.376,35.9,67.5,0.531,23.6,30.3,0.781,10.7,29.4,27.5,9.2,4.8,15.7,24.9,106.4
6,Golden State Warriors,1995,82,26,56,West,242.7,39.2,83.8,0.468,6.7,19.5,0.341,32.6,64.3,0.507,20.6,29.2,0.704,13.4,28.9,24.6,7.9,4.8,18.3,22,105.7
7,Los Angeles Lakers*,1995,82,48,34,West,242.7,40,86.4,0.463,6.4,18.2,0.352,33.6,68.2,0.493,18.6,25.3,0.735,13.7,28.2,25.3,9.1,6.9,15.2,23.6,105.1
8,Houston Rockets*,1995,82,47,35,West,240.6,38.5,80.2,0.48,7.9,21.4,0.368,30.6,58.8,0.521,18.6,24.9,0.749,10.7,29.8,25.1,8.8,6.3,16.1,20.9,103.5
9,Dallas Mavericks,1995,82,36,46,West,243,39.4,89.5,0.44,4.7,14.6,0.322,34.6,74.9,0.463,19.8,27,0.734,18.5,29.7,23.7,7.1,4.2,16.4,22.1,103.2
10,Portland Trail Blazers*,1995,82,44,38,West,240.3,39.2,87,0.451,5.6,15.4,0.365,33.6,71.6,0.469,19,27.2,0.697,16.5,29.8,22.5,8.1,5.7,14.8,24.7,103.1
11,Boston Celtics*,1995,82,35,47,East,241.5,38.8,83.5,0.464,4.4,12,0.368,34.4,71.5,0.48,20.8,27.7,0.753,14.1,28.3,21.7,7.5,4.4,15.9,24.1,102.8
12,Chicago Bulls*,1995,82,47,35,East,241.8,38.9,81.8,0.476,5.4,14.5,0.373,33.5,67.4,0.498,18.3,25.2,0.726,13.5,28,24,9.7,4.3,15.8,23.9,101.5
13,Denver Nuggets*,1995,82,41,41,West,243.7,37.8,78.8,0.479,5,14.1,0.356,32.7,64.6,0.507,20.7,28.1,0.738,12.7,29.3,22.4,8,7.1,16.8,25.2,101.3
14,Miami Heat,1995,82,32,50,East,241.5,38.3,82.2,0.467,5.3,14.4,0.369,33,67.8,0.487,19.1,26,0.736,13.3,27.7,21.7,8.1,3.6,15.7,24.4,101.1
15,Charlotte Hornets*,1995,82,50,32,East,241.5,37.2,78.5,0.474,6.8,17.2,0.397,30.4,61.3,0.495,19.4,24.9,0.777,10.1,29.2,25.3,7.6,4.9,14.9,20.5,100.6
16,Washington Bullets,1995,82,21,61,East,242.1,38.7,84.1,0.46,5.3,15.4,0.343,33.5,68.7,0.487,17.8,24.5,0.724,12.7,27.1,21.3,7.9,4.9,15.9,23.8,100.5
17,Milwaukee Bucks,1995,82,34,48,East,242.1,36.9,80.3,0.459,6,16.5,0.366,30.8,63.9,0.483,19.6,27.5,0.712,13,26.7,21.2,8.2,4.4,17,22.7,99.3
18,Indiana Pacers*,1995,82,52,30,East,241.2,36.4,76.2,0.477,4.6,12,0.38,31.8,64.2,0.496,21.9,29.1,0.751,12.8,27.9,22.9,8.6,4.4,16.3,23.6,99.2
19,Sacramento Kings,1995,82,39,43,West,242.1,36.9,78.8,0.468,4.4,12.6,0.346,32.5,66.2,0.491,20.1,28.3,0.711,13.1,28.4,22.2,7.9,5.6,17.7,24.9,98.2
20,New York Knicks*,1995,82,55,27,East,241.2,36.4,78,0.467,6.5,17.6,0.368,29.9,60.3,0.496,18.9,25.8,0.734,11.3,30.2,25.1,7.2,4.7,15.9,25.6,98.2
21,Detroit Pistons,1995,82,28,54,East,240.6,37.3,80.9,0.461,6,17,0.354,31.3,63.9,0.49,17.5,23.7,0.741,11.7,26.9,22.8,8.6,5.1,16.1,26.2,98.2
22,New Jersey Nets,1995,82,30,52,East,242.4,35.8,82.2,0.436,5,15.8,0.319,30.8,66.4,0.464,21.3,28.1,0.759,14.8,31.3,23,6.6,6.7,15.9,22.5,98.1
23,Los Angeles Clippers,1995,82,17,65,West,242.4,37.3,84,0.444,4,12.8,0.315,33.3,71.2,0.468,18,25.4,0.71,13,25.3,22,9.6,5.3,16.3,26.2,96.7
24,Atlanta Hawks*,1995,82,42,40,East,242.1,36.4,81.5,0.447,6.6,19.3,0.341,29.8,62.2,0.48,17.2,23.8,0.724,13.5,27.7,21.4,9,5,14.9,22,96.6
25,Philadelphia 76ers,1995,82,24,58,East,241.5,36,80.2,0.448,4.3,11.4,0.379,31.6,68.8,0.46,19.1,25.9,0.737,13.5,27.2,19.1,7.8,7,16.5,22.4,95.4
26,Minnesota Timberwolves,1995,82,21,61,West,241.2,34,75.8,0.449,3.9,12.4,0.313,30.2,63.5,0.475,22.2,28.7,0.775,10.8,25.5,21.7,7.4,4.9,17.1,25.3,94.2
27,Cleveland Cavaliers*,1995,82,43,39,East,243,33.6,76.3,0.441,4.9,12.6,0.385,28.8,63.7,0.452,18.4,24.2,0.76,12.7,27.3,20.4,7.7,4.3,14.3,20.7,90.5
1,Chicago Bulls*,1996,82,72,10,East,240.6,40.2,84,0.478,6.6,16.5,0.403,33.5,67.6,0.496,18.2,24.4,0.746,15.2,29.4,24.8,9.1,4.2,14.3,22,105.2
2,Seattle SuperSonics*,1996,82,64,18,West,242.4,37.5,78.1,0.48,7.1,19.5,0.364,30.4,58.6,0.519,22.5,29.6,0.76,11.6,29.9,24.4,10.8,4.8,17.6,24,104.5
3,Orlando Magic*,1996,82,60,22,East,242.1,39.1,81,0.482,7.6,20.1,0.378,31.5,60.9,0.517,18.8,27.2,0.691,11.8,29.3,25.4,8.1,5,14.1,20.8,104.5
4,Phoenix Suns*,1996,82,41,41,West,243.4,38.5,81.4,0.473,4,12,0.332,34.5,69.4,0.498,23.3,30.1,0.771,12.3,30.5,24.4,7.6,4,14.7,21.7,104.3
5,Boston Celtics,1996,82,33,49,East,242.7,38.6,84.7,0.456,6.6,17.7,0.371,32,66.9,0.478,19.9,27.9,0.714,12.8,29.6,21.9,8,5,15.9,24.9,103.6
6,San Antonio Spurs*,1996,82,59,23,West,241.2,38.4,80.5,0.477,6.3,16.1,0.392,32.1,64.4,0.498,20.3,27.6,0.736,11.4,31.5,24.9,7.9,6.5,14.6,22.2,103.4
